"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 13_0_0; en-US; Valve Steam GameOverlay/1676336721; ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 13_2_1; en-US; Valve Steam Tenfoot/1676336721; ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 13_2_1; en-US; Valve Steam GameOverlay/1676336721; ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 13_2_0; en-US; Valve Steam GameOverlay/1675222618; ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 13_2_0; en-US; Valve Steam GameOverlay/1675222618; ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/420.0.4183.121 Safari/537.36"
"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 13_1_0; en-US; Valve Steam Tenfoot/1674790765; ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 13_0_1; en-US; Valve Steam GameOverlay/1671236931; ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 13_1_0; en-US; Valve Steam GameOverlay/1671236931; ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 13_0_0; en-US; Valve Steam GameOverlay/1666144119; ) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.121 Safari/537.36"
Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:43.0) Gecko/20100101 Firefox/43.0 SeaMonkey/8650
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.5; rv:31.0) Gecko/20100101 Firefox/30.0 TenFourFox/7477
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.4; FPR22; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.4; rv:17.0) Gecko/20130805 Firefox/17.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.4; FPR12; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.4; FPR8; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.5; FPR23; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.4; rv:17.0) Gecko/20131114 Firefox/17.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.6; FPR31; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.5; FPR18; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.4; FPR8; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7450 AlexaToolbar/alxf-2.21
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.4; FPR23; rv:45.0) Gecko/20100101 SVT/1.0.1 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.5; rv:38.0) Gecko/20100101 Firefox/38.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.4; FPR32; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.4; FPR17; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.5; FPR4; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.4; FPR3; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.5; FPR7; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.5; FPR21; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.5; FPR32; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.4; rv:17.0) Gecko/20130308 Firefox/17.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.4; FPR6; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.5; rv:17.0) Gecko/20121128 Firefox/17.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.5; FPR27; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.5; FPR13; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.4; FPR13; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.5; FPR3; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.4; FPR26; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.5; FPR29; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.5; FPR5; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.4; rv:10.0.4) Gecko/20120421 Firefox/10.0.4 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.5; FPR26; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.4; FPR25; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.6; FPR26; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.4; FPR1; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.4; rv:31.0) Gecko/20100101 Firefox/31.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.4; FPR24; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.5; rv:24.0) Gecko/20140315 Firefox/24.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.5; rv:10.0.3) Gecko/20120307 Firefox/10.0.3 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.5; FPR22; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.4; FPR9; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.4; FPR11; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.4; rv:17.0) Gecko/20130105 Firefox/17.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.4; FPR20; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.5; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.5; FPR31; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.4; rv:24.0) Gecko/20131206 Firefox/24.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.4; FPR14; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.5; FPR19; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.5; FPR15; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.4; FPR23; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.4; FPR29; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.5; rv:24.0) Gecko/20140607 Firefox/24.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.4; FPR28; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.5; rv:10.0.2) Gecko/20120216 Firefox/10.0.2 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.4; FPR15; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.5; rv:10.0.5) Gecko/20120601 Firefox/10.0.5 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.4; rv:10.0.5) Gecko/20120601 Firefox/10.0.5 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.4; FPR4; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.4; FPR10; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.5; FPR24; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.5; FPR9; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.5; FPR11; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.5; FPR1; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.4; FPR18; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.4; FPR2; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.5; FPR28; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.5; rv:17.0) Gecko/20131114 Firefox/17.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.4; FPR31; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.4; FPR19; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.5; FPR30; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.4; rv:22.0) Gecko/20130623 Firefox/22.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.4; FPR5; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.5; rv:17.0) Gecko/20130509 Firefox/17.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.5; FPR17; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.5; FPR25; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.5; FPR20; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7450
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.5; FPR9; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7400
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.5; FPR22; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7400
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.4; FPR32; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7400
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.5; FPR24; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7400
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.4; rv:31.0) Gecko/20100101 Firefox/31.0 TenFourFox/7400
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.4; FPR10; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7400
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.5; rv:38.0) Gecko/20100101 Firefox/38.0 TenFourFox/7400
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.5; FPR30; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7400
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.4; FPR24; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7400
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.5; FPR18; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7400
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.4; FPR16; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7400
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.4; FPR13; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7400
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.4; FPR23; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7400
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.4; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7400
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.4; FPR31; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7400
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.4; FPR22; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7400
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.4; FPR2; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7400
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.4; rv:38.0) Gecko/20100101 Firefox/38.0 TenFourFox/7400
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.4; FPR27; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7400
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.5; FPR11; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7400
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.5; FPR31; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7400
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.4; FPR11; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7400
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.4; FPR7; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7400
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.5; rv:31.0) Gecko/20100101 Firefox/31.0 TenFourFox/7400
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.5; rv:10.0.4) Gecko/20120421 Firefox/10.0.4 TenFourFox/7400
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.4; FPR30; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7400
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.4; FPR28; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7400
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.4; FPR17; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7400
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.4; FPR4; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7400
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.5; FPR32; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7400
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.4; FPR8; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7400
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.4; FPR12; rv:45.0) Gecko/20100101 Firefox/45.0 TenFourFox/7400
"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_5; en-us) AppleWebKit/525.18 (KHTML,like Gecko) Version/3.1.2 Safari/525.20.1 Maxthon/3250"
"Mozilla/5.0 (Macintosh; Intel Mac OS X) AppleWebKit/538.1 (KHTML, like Gecko) Tableau/2018.1 Safari/538.1"
"Mozilla/5.0 (Macintosh; Intel Mac OS X) AppleWebKit/538.1 (KHTML, like Gecko) Tableau/2018.2 Safari/538.1"
Mozilla/5.0 (Macintosh; PPC Mac OS X 10.4; rv:38.0) Gecko/20100101 Firefox/38.0 TenFourFox/745
"Mozilla/5.0 (Macintosh; U; PowerPC Mac OS X 10_5_8; en-US) AppleWebKit/533.21.1+(KHTML, like Gecko, Safari/533.19.4) Version/6.0 OmniWeb/630.0"
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6; en-US) AppleWebKit/11601.7.8 (KHTML, like Gecko) Version/7.0 Safari/537.71 OmniWeb/v630.0"
"Mozilla/5.0 (Macintosh; U; PowerPC Mac OS X 10_5_8; en-US) AppleWebKit/533.21.1 (KHTML, like Gecko, Safari/533.19.4) Version/6.0 OmniWeb/630.0"
"Mozilla/5.0 (Macintosh; U; PowerPC Mac OS X 10_5_8; en-US) AppleWebKit/533.21.1+(KHTML, like Gecko, Safari/533.19.4) Version/6.0 OmniWeb/629.0"
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6; en-US) AppleWebKit/11601.7.8 (KHTML, like Gecko) Version/7.0 Safari/537.71 OmniWeb/v629.0"
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6; en-US) AppleWebKit/11601.7.7 (KHTML, like Gecko) Version/7.0 Safari/537.71 OmniWeb/v628.0"
"Mozilla/5.0 (Macintosh; U; PowerPC Mac OS X 10_5_8; en-US) AppleWebKit/533.21.1 (KHTML, like Gecko, Safari/533.19.4) Version/6.0 OmniWeb/628.0"
"Mozilla/5.0 (Macintosh; U; PowerPC Mac OS X 10_5_8; en-US) AppleWebKit/533.21.1+(KHTML, like Gecko, Safari/533.19.4) Version/6.0 OmniWeb/628.0"
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_4; en-US) AppleWebKit/10600.7.12 (KHTML, like Gecko) Version/7.0 Safari/537.71 OmniWeb/v626.0"
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5; en-US) AppleWebKit/10600.8.9 (KHTML, like Gecko) Version/7.0 Safari/537.71 OmniWeb/v626.0"
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2; en-US) AppleWebKit/10600.3.18 (KHTML, like Gecko) Version/7.0 Safari/537.71 OmniWeb/v626.0"
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_0; en-US) AppleWebKit/10600.1.25 (KHTML, like Gecko) Version/7.0 Safari/537.71 OmniWeb/v626.0"
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1; en-US) AppleWebKit/10600.1.25 (KHTML, like Gecko) Version/7.0 Safari/537.71 OmniWeb/v626.0"
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3; en-US) AppleWebKit/10600.5.17 (KHTML, like Gecko) Version/7.0 Safari/537.71 OmniWeb/v626.0"
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1; en-US) AppleWebKit/11601.2.4 (KHTML, like Gecko) Version/7.0 Safari/537.71 OmniWeb/v626.0"
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5; en-US) AppleWebKit/11601.6.17 (KHTML, like Gecko) Version/7.0 Safari/537.71 OmniWeb/v626.0"
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6; en-US) AppleWebKit/11601.7.7 (KHTML, like Gecko) Version/7.0 Safari/537.71 OmniWeb/v626.0"
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_4; en-US) AppleWebKit/11601.5.17.1 (KHTML, like Gecko) Version/7.0 Safari/537.71 OmniWeb/v626.0"
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_0; en-US) AppleWebKit/10600.1.25 (KHTML, like Gecko) Version/7.0 Safari/537.71 OmniWeb/v625.0"
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4; en-US) AppleWebKit/9537.77.4 (KHTML, like Gecko) Version/7.0 Safari/537.71 OmniWeb/v625.0"
"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1; en-US) AppleWebKit/9537.73.11 (KHTML, like Gecko) Version/7.0 Safari/537.71 OmniWeb/v624.0"
"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_6; en-US) AppleWebKit/528.16 (KHTML, like Gecko, Safari/528.16) OmniWeb/v622.8.0"
"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_8; en-US) AppleWebKit/533.21.1+(KHTML, like Gecko, Safari/533.19.4) Version/5.11 OmniWeb/622.16.0"
"Mozilla/5.0 (Macintosh; U; Intel Mac OS X; en-US) AppleWebKit/525.18 (KHTML, like Gecko, Safari/525.20) OmniWeb/v622.6.1.0.111015"
"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_8; en-US) AppleWebKit/533.21.1+(KHTML, like Gecko, Safari/533.19.4) Version/5.11.2 OmniWeb/622.19.3.0"
"Mozilla/5.0 (Macintosh; U; PowerPC Mac OS X 10_5_8; en-US) AppleWebKit/531.9 (KHTML, like Gecko, Safari/528.16) OmniWeb/v622.9.0"
